fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	ganancia_prom	iteracion
20221002 043852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1071	TRUE	962041	0.00520628419663428	0.200179817575823	2483	345	9054	26940000	26700000	102
20221002 044611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1127	TRUE	705689	0.00520628419663428	0.200179817575823	2483	345	9054	27020000	26806666.6666667	103
20221002 045227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	839	TRUE	909463	0.00520628419663428	0.200179817575823	2483	345	9054	26140000	26640000	104
20221002 045942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1109	TRUE	637597	0.00520628419663428	0.200179817575823	2483	345	9054	26860000	26684000	105
20221002 050125	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	438	TRUE	807299	0.0469503447052239	0.920766608807315	7993	398	8697	26850000	26850000	106
20221002 050232	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	219	TRUE	962041	0.0469503447052239	0.920766608807315	7993	398	8697	26290000	26570000	107
20221002 050340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	246	TRUE	705689	0.0469503447052239	0.920766608807315	7993	398	8697	26610000	26583333.3333333	108
20221002 050507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	341	TRUE	909463	0.0469503447052239	0.920766608807315	7993	398	8697	25570000	26330000	109
20221002 050633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	362	TRUE	637597	0.0469503447052239	0.920766608807315	7993	398	8697	27090000	26482000	110
20221002 051909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	581	TRUE	807299	0.00566669334994859	0.214886035110081	8	429	8675	26570000	26570000	111
20221002 053233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	700	TRUE	962041	0.00566669334994859	0.214886035110081	8	429	8675	27050000	26810000	112
20221002 054357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	449	TRUE	705689	0.00566669334994859	0.214886035110081	8	429	8675	26970000	26863333.3333333	113
20221002 060237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1328	TRUE	909463	0.00566669334994859	0.214886035110081	8	429	8675	26650000	26810000	114
20221002 061353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	432	TRUE	637597	0.00566669334994859	0.214886035110081	8	429	8675	26730000	26794000	115
20221002 061622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	514	TRUE	807299	0.0171536688751677	0.213092957155965	7675	862	8509	26510000	26510000	116
20221002 061838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	431	TRUE	962041	0.0171536688751677	0.213092957155965	7675	862	8509	26430000	26470000	117
20221002 062131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	630	TRUE	705689	0.0171536688751677	0.213092957155965	7675	862	8509	26750000	26563333.3333333	118
20221002 062506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	868	TRUE	909463	0.0171536688751677	0.213092957155965	7675	862	8509	26670000	26590000	119
20221002 062717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	382	TRUE	637597	0.0171536688751677	0.213092957155965	7675	862	8509	26750000	26622000	120
20221002 062929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	297	TRUE	807299	0.0120277448029332	0.200084984008427	412	39	8536	26610000	26610000	121
20221002 063119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	962041	0.0120277448029332	0.200084984008427	412	39	8536	27010000	26810000	122
20221002 063342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	350	TRUE	705689	0.0120277448029332	0.200084984008427	412	39	8536	27410000	27010000	123
20221002 063643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	683	TRUE	909463	0.0120277448029332	0.200084984008427	412	39	8536	26850000	26970000	124
20221002 063842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	TRUE	637597	0.0120277448029332	0.200084984008427	412	39	8536	27330000	27042000	125
20221002 064708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1074	TRUE	807299	0.00525615530368289	0.468217739201665	96	81	8684	27360000	27360000	126
20221002 065946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2183	TRUE	962041	0.00525615530368289	0.468217739201665	96	81	8684	27120000	27240000	127
20221002 070611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	597	TRUE	705689	0.00525615530368289	0.468217739201665	96	81	8684	27120000	27200000	128
20221002 071435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1113	TRUE	909463	0.00525615530368289	0.468217739201665	96	81	8684	26800000	27100000	129
20221002 071847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	637597	0.00525615530368289	0.468217739201665	96	81	8684	27120000	27104000	130
20221002 071942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	807299	0.0337812911165746	0.416588734959575	43	18	9216	26850000	26850000	131
20221002 072044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	962041	0.0337812911165746	0.416588734959575	43	18	9216	26290000	26570000	132
20221002 072158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	705689	0.0337812911165746	0.416588734959575	43	18	9216	27570000	26903333.3333333	133
20221002 072250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	909463	0.0337812911165746	0.416588734959575	43	18	9216	26370000	26770000	134
20221002 072353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	637597	0.0337812911165746	0.416588734959575	43	18	9216	26610000	26738000	135
20221002 073039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1256	TRUE	807299	0.00549447515485878	0.413103324607956	6080	16	8434	26820000	26820000	136
20221002 073827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1667	TRUE	962041	0.00549447515485878	0.413103324607956	6080	16	8434	26820000	26820000	137
20221002 074502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1265	TRUE	705689	0.00549447515485878	0.413103324607956	6080	16	8434	26740000	26793333.3333333	138
20221002 075102	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1036	TRUE	909463	0.00549447515485878	0.413103324607956	6080	16	8434	26180000	26640000	139
20221002 075738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1260	TRUE	637597	0.00549447515485878	0.413103324607956	6080	16	8434	26740000	26660000	140
20221002 080959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2368	TRUE	807299	0.00541408090019292	0.543085063622354	696	42	8520	26880000	26880000	141
20221002 081846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1450	TRUE	962041	0.00541408090019292	0.543085063622354	696	42	8520	26720000	26800000	142
20221002 082621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1095	TRUE	705689	0.00541408090019292	0.543085063622354	696	42	8520	27280000	26960000	143
20221002 093926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	578	TRUE	807299	0.00500079115835055	0.699924452962964	69	21	8507	26670000	26670000	144
